0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
46.3Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.8Mbits/sec,44.8Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.0Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec
23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.4Mbits/sec
46.3Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,46.1Mbits/sec,44.7Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
46.3Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.9Mbits/sec,44.9Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.1Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.1Mbits/sec
46.3Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,45.6Mbits/sec,45.5Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
44.8Mbits/sec,44.0Mbits/sec,44.1Mbits/sec,43.9Mbits/sec,44.1Mbits/sec,46.0Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,33.9Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec
46.3Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.9Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.9Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec
46.3Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,45.1Mbits/sec,36.0Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec
46.2Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.3Mbits/sec,45.3Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.8Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec
46.0Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,46.4Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.7Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec
46.2Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,46.2Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.7Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.1Mbits/sec
46.0Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,46.0Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec
46.4Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.4Mbits/sec,45.3Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
46.4Mbits/sec,44.7Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.4Mbits/sec,45.1Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.4Mbits/sec
46.2Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,45.9Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.7Mbits/sec
23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,30.6Mbits/sec,23.2Mbits/sec,23.1Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,32.1Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.1Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,32.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,31.5Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.4Mbits/sec
43.8Mbits/sec,43.0Mbits/sec,43.0Mbits/sec,42.9Mbits/sec,44.8Mbits/sec,44.8Mbits/sec,44.6Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,44.6Mbits/sec
